Logistic regression accuracy is --> 73.5574 %

     Actual  Predicted
434     -50        -50
435     -50        -50
436     -50        -50
437       6        -50
438       3        -50
439       4        -50
440       2        -50
441       4        -50
442     -50        -50
443       3        -50
444     -50        -50
445       2        -50
446       4        -50
447       6        -50
448       4        -50
449       0        -50
450     -50        -50
451     -50        -50
452     -50        -50
453       2        -50
454       3        -50
455       4        -50
456       1        -50
457     -50        -50
458       7        -50
459     -50        -50
460       6        -50
461     -50        -50
462     -50        -50
463       4          6
464       1        -50
465      -7        -50
466     -50        -50
467     -50        -50
468       2        -50
469       2        -50
470       2        -50
471       2          2
472     -50        -50
473       2        -50
474     -50        -50
475      -6        -50
476       3        -50
477     -50        -50
478       2        -50
479       9        -50
480       4        -50
481     -50        -50
482     -50        -50
483       0        -50
484     -50        -50
485       9        -50
486     -50        -50
487     -50        -50
488      11          2
489       5        -50
490     -50        -50
491       7        -50
492     -50        -50
493     -50        -50
494       2        -50
495       5        -50
496     -50        -50
497     -50        -50
498     -50        -50
499       4        -50
500      10        -50
501       9        -50
502      12        -50
503       6          2
504       4        -50
505       6        -50
506     -50        -50
507     -50        -50
508     -50        -50
509     -50          2
510       2        -50
511       1        -50
512     -50        -50
513      11          2
514     -50        -50
515       8          9
516     -50          2
517     -50        -50
518       4        -50
519     -50        -50
520     -50        -50
521       6        -50
522       3        -50
523       6        -50
524       6          9
525       5        -50
526       6        -50
527       4        -50
528       3        -50
529       2        -50
530     -50        -50
531       2        -50
532       2        -50
533     -50        -50
534     -50        -50
535     -50        -50
536     -50        -50
537       2        -50
538       2          2
539     -50        -50
